"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-08 20:15:00","BSL","LIS",95.78,"EUR","EasyJet","2023-03-04"
"2023-03-08 20:30:00","BSL","AMS",52.74,"EUR","EasyJet","2023-02-27"
"2023-03-08 20:30:00","BSL","AMS",75.19,"EUR","EasyJet","2023-03-04"
"2023-03-09 07:05:00","BSL","OPO",54.76,"EUR","EasyJet","2023-02-27"
"2023-03-09 07:05:00","BSL","OPO",101.81,"EUR","EasyJet","2023-03-04"
"2023-03-09 07:20:00","OTP","BSL",939,"RON","WizzAir","2023-03-08"
"2023-03-09 09:15:00","OPO","BSL",38.99,"EUR","EasyJet","2023-02-27"
"2023-03-09 09:15:00","OPO","BSL",65.49,"EUR","EasyJet","2023-03-04"
"2023-03-09 09:40:00","BSL","OTP",80.99,"CHF","WizzAir","2023-03-08"
"2023-03-09 12:10:00","AMS","VCE",95.2,"EUR","EasyJet","2023-02-27"
"2023-03-09 15:30:00","LIS","BSL",82.49,"EUR","EasyJet","2023-02-27"
"2023-03-09 15:30:00","LIS","BSL",128.49,"EUR","EasyJet","2023-03-04"
"2023-03-09 17:20:00","OPO","BSL",42.49,"EUR","EasyJet","2023-02-27"
"2023-03-09 17:20:00","OPO","BSL",82.49,"EUR","EasyJet","2023-03-04"
"2023-03-09 18:40:00","AMS","BSL",98.92,"EUR","EasyJet","2023-02-27"
"2023-03-09 18:40:00","AMS","BSL",101.42,"EUR","EasyJet","2023-03-04"
"2023-03-09 19:10:00","BSL","NCE",60.8,"EUR","EasyJet","2023-02-27"
"2023-03-09 19:10:00","BSL","NCE",105.33,"EUR","EasyJet","2023-03-04"
"2023-03-09 19:50:00","BSL","LIS",66.85,"EUR","EasyJet","2023-02-27"
"2023-03-09 19:50:00","BSL","LIS",95.78,"EUR","EasyJet","2023-03-04"
"2023-03-09 20:35:00","BSL","AMS",68.36,"EUR","EasyJet","2023-02-27"
"2023-03-09 20:35:00","BSL","AMS",100.81,"EUR","EasyJet","2023-03-04"
"2023-03-09 20:55:00","NCE","BSL",29.55,"EUR","EasyJet","2023-02-27"
"2023-03-09 20:55:00","NCE","BSL",60.55,"EUR","EasyJet","2023-03-04"
"2023-03-10 06:00:00","OPO","BSL",51.49,"EUR","EasyJet","2023-03-04"
"2023-03-10 06:00:00","OPO","BSL",70.99,"EUR","EasyJet","2023-03-08"
"2023-03-10 06:45:00","BSL","AMS",60.8,"EUR","EasyJet","2023-02-27"
"2023-03-10 06:45:00","BSL","AMS",60.63,"EUR","EasyJet","2023-03-04"
"2023-03-10 06:45:00","BSL","AMS",99.58,"EUR","EasyJet","2023-03-08"
"2023-03-10 07:00:00","BSL","NCE",56.27,"EUR","EasyJet","2023-02-27"
"2023-03-10 07:35:00","BSL","LIS",105.64,"EUR","EasyJet","2023-02-27"
"2023-03-10 08:45:00","NCE","BSL",41.05,"EUR","EasyJet","2023-02-27"
"2023-03-10 08:45:00","NCE","BSL",48.05,"EUR","EasyJet","2023-03-04"
"2023-03-10 08:50:00","AMS","BSL",72.42,"EUR","EasyJet","2023-02-27"
"2023-03-10 08:50:00","AMS","BSL",93.42,"EUR","EasyJet","2023-03-04"
"2023-03-10 08:50:00","AMS","BSL",103.42,"EUR","EasyJet","2023-03-08"
"2023-03-10 09:25:00","MLA","OTP",124.62,"EUR","RyanAir","2023-02-27"
"2023-03-10 10:00:00","LIS","BSL",67.49,"EUR","EasyJet","2023-02-27"
"2023-03-10 10:00:00","LIS","BSL",70.99,"EUR","EasyJet","2023-03-04"
"2023-03-10 10:00:00","LIS","BSL",83.99,"EUR","EasyJet","2023-03-08"
"2023-03-10 10:05:00","BSL","OPO",109.17,"EUR","EasyJet","2023-02-27"
"2023-03-10 10:05:00","BSL","OPO",128.43,"EUR","EasyJet","2023-03-04"
"2023-03-10 10:05:00","BSL","OPO",134.84,"EUR","EasyJet","2023-03-08"
"2023-03-10 10:40:00","BSL","BOD",134.24,"EUR","EasyJet","2023-03-04"
"2023-03-10 13:10:00","OTP","MLA",40.87,"EUR","RyanAir","2023-02-27"
"2023-03-10 17:15:00","BSL","OPO",147.96,"EUR","EasyJet","2023-02-27"
"2023-03-10 17:15:00","BSL","OPO",146.51,"EUR","EasyJet","2023-03-04"
"2023-03-10 17:15:00","BSL","OPO",149.44,"EUR","EasyJet","2023-03-08"
"2023-03-10 18:00:00","BSL","LGW",291.17,"EUR","EasyJet","2023-03-04"
"2023-03-10 19:20:00","OPO","BSL",44.49,"EUR","EasyJet","2023-02-27"
"2023-03-10 19:20:00","OPO","BSL",62.99,"EUR","EasyJet","2023-03-04"
"2023-03-10 19:20:00","OPO","BSL",99.99,"EUR","EasyJet","2023-03-08"
"2023-03-10 20:00:00","BSL","NCE",66.65,"EUR","EasyJet","2023-03-04"
"2023-03-10 21:55:00","NCE","BSL",37.55,"EUR","EasyJet","2023-02-27"
"2023-03-10 21:55:00","NCE","BSL",45.55,"EUR","EasyJet","2023-03-04"
"2023-03-10 21:55:00","NCE","BSL",130.55,"EUR","EasyJet","2023-03-08"
"2023-03-11 06:00:00","OTP","GVA",649,"RON","WizzAir","2023-03-08"
"2023-03-11 07:00:00","BSL","NCE",58.79,"EUR","EasyJet","2023-02-27"
"2023-03-11 07:00:00","BSL","NCE",118.77,"EUR","EasyJet","2023-02-27"
"2023-03-11 07:00:00","BSL","NCE",60.63,"EUR","EasyJet","2023-03-04"
"2023-03-11 07:00:00","BSL","NCE",133.45,"EUR","EasyJet","2023-03-04"
"2023-03-11 07:00:00","BSL","NCE",157.5,"EUR","EasyJet","2023-03-08"
"2023-03-11 07:00:00","BSL","NCE",287.86,"EUR","EasyJet","2023-03-08"
"2023-03-11 07:25:00","BSL","AMS",58.79,"EUR","EasyJet","2023-02-27"
"2023-03-11 07:25:00","BSL","AMS",75.19,"EUR","EasyJet","2023-03-04"
"2023-03-11 07:25:00","BSL","AMS",75.4,"EUR","EasyJet","2023-03-08"
"2023-03-11 08:35:00","GVA","OTP",100.99,"CHF","WizzAir","2023-03-08"
"2023-03-11 08:45:00","NCE","BSL",34.05,"EUR","EasyJet","2023-02-27"
"2023-03-11 08:45:00","NCE","BSL",45.55,"EUR","EasyJet","2023-03-04"
"2023-03-11 08:45:00","NCE","BSL",52.55,"EUR","EasyJet","2023-03-08"
"2023-03-11 09:30:00","AMS","BSL",67.92,"EUR","EasyJet","2023-02-27"
"2023-03-11 09:30:00","AMS","BSL",87.42,"EUR","EasyJet","2023-03-04"
